"id";"winerys";"winetype";"country";"region";"averages";"reviews";"images";"winename"
393;"CAVIT";"Dessert";"I";"trentino";4.5;63;"https://images.vivino.com/thumbs/Y065jOunQiaMNmhixB7n9w_pb_x300.png";"ARÈLE VINO SANTO N.V."
394;"CORZANO E PATERNO";"Dessert";"I";"toscana";4.5;61;"https://images.vivino.com/thumbs/acgugM5rSMS8iRszLAyuRw_pb_x300.png";"IL PASSITO DI CORZANO N.V."
395;"ORNELLAIA";"Dessert";"I";"toscana";4.5;59;"https://images.vivino.com/thumbs/YJiN_11fQRS1kzfHxY_BVA_pb_x300.png";"ORNUS 2012"
396;"DISZNÓKÓ";"Dessert";"HUN";"tokaj";4.5;59;"https://images.vivino.com/thumbs/ga49QVi8TROAuuppZ--QVQ_pb_x300.png";"TOKAJI ASZÚ 6 PUTTONYOS 2005"
397;"MULLINEUX";"Dessert";"south africa";"swartland";4.5;59;"https://images.vivino.com/thumbs/Eyn41yOZRuucNW32l2Bi5g_pb_x300.png";"STRAW WINE 2012"
398;"CHÂTEAU SUDUIRAUT";"Dessert";"FR";"sauternes";4.5;59;"https://images.vivino.com/thumbs/yyAgH9OpQjKEBxg1N1RBmA_pb_x300.png";"SAUTERNES (PREMIER GRAND CRU CLASSÉ) 1985"
399;"GROOT CONSTANTIA";"Dessert";"south africa";"constantia";4.5;59;"https://images.vivino.com/thumbs/DODNA6a0RB6zZjm_6lAL6Q_pb_x300.png";"GRAND CONSTANCE 2010"
400;"NAVARRE";"Dessert";"FR";"pineau des charentes";4.5;59;"https://images.vivino.com/thumbs/4DvRAiorQ2afHerZuC_KEQ_pb_x300.png";"PINEAU DES CHARENTES ROSÉ N.V."
401;"LA SPINETTA";"Dessert";"I";"piemonte";4.5;58;"https://images.vivino.com/thumbs/q1JB8j3CQ6CwxCHN2zyfKA_pb_x300.png";"PASSITO ORO 2008"
402;"ROYAL TOKAJI";"Dessert";"HUN";"tokaj";4.5;56;"https://images.vivino.com/thumbs/z4hKF8_2QeOrWGZnPs-zbg_pb_x300.png";"NYULÁSZÓ 6 PUTTONYOS ASZÚ 2008"
403;"DIDIER DAGUENEAU (LOUIS-BENJAMIN DAGUENEAU)";"Dessert";"FR";"jurançon";4.5;56;"https://images.vivino.com/thumbs/lZQrVzCaR2-JVOqOfKerdQ_pb_x300.png";"LES JARDINS DE BABYLONE MOELLEUX 2006"
404;"TRAMIN";"Dessert";"I";"südtirol - alto adige";4.5;56;"https://images.vivino.com/thumbs/HTi8_y9cRoyOb-3ALDDsuQ_pb_x300.png";"ROEN 2017"
405;"KELLER";"Dessert";"germany";"rheinhessen";4.5;57;"https://images.vivino.com/thumbs/AbIhUouIRZuhImfRZDYjzQ_pb_x300.png";"WESTHOFEN KIRCHSPIEL RIESLING AUSLESE N.V."
406;"MISSION HILL FAMILY ESTATE";"Dessert";"canada";"okanagan valley";4.5;54;"https://images.vivino.com/thumbs/It6rAKE6TVu8gHLU5a2j4w_pb_x300.png";"RESERVE RIESLING ICEWINE 2014"
407;"CHÂTEAU LA TOUR BLANCHE";"Dessert";"FR";"sauternes";4.5;54;"https://images.vivino.com/thumbs/p9qtTwpGRCWoEWG20jv0Sw_pb_x300.png";"SAUTERNES (PREMIER GRAND CRU CLASSÉ) 1988"
408;"HUGEL";"Dessert";"FR";"alsace";4.5;53;"https://images.vivino.com/thumbs/U-mFou_mQMKY_YceCqR1zg_pb_x300.png";"SÉLECTION DE GRAINS NOBLES GEWÜRZTRAMINER 1988"
409;"FERNAND ENGEL";"Dessert";"FR";"alsace grand cru";4.5;53;"https://images.vivino.com/thumbs/lBIL-kRzRc-n7XzWkInAgw_pb_x300.png";"VENDANGES TARDIVES GEWÜRZTRAMINER 2016"
410;"TREFETHEN";"Dessert";"united states";"oak knoll district";4.5;52;"https://images.vivino.com/thumbs/Gxy1PuDhRkKSGWUbQ810PQ_pb_x300.png";"LATE HARVEST RIESLING 2013"
411;"CHÂTEAU RIEUSSEC";"Dessert";"FR";"sauternes";4.5;52;"https://images.vivino.com/thumbs/gnOwIVXJQ6abQRMgMzGoAg_pb_x300.png";"SAUTERNES (PREMIER GRAND CRU CLASSÉ) 1994"
412;"BARBERANI";"Dessert";"I";"orvieto classico";4.5;51;"https://images.vivino.com/thumbs/gzQtdl13Rsag7YQ8_DVcFg_pb_x300.png";"CALCAIA ORVIETO CLASSICO SUPERIORE DOLCE 2007"
413;"CA' RUGATE";"Dessert";"I";"recioto della valpolicella";4.5;51;"https://images.vivino.com/thumbs/8O23VgiJTXqhz1VDl9WegA_pb_x300.png";"RECIOTO DELLA VALPOLICELLA L'EREMITA 2009"
414;"DOBOGÓ";"Dessert";"HUN";"tokaj";4.5;49;"https://images.vivino.com/thumbs/T36jTQZkQc-aClz8hMmX8w_pb_x300.png";"TOKAJI ASZÚ 6 PUTTONYOS 2006"
415;"CHÂTEAU FILHOT";"Dessert";"FR";"sauternes";4.5;49;"https://images.vivino.com/thumbs/3pdVklK5Ty6q0Sy9-tQq9w_pb_x300.png";"SAUTERNES (GRAND CRU CLASSÉ) 1989"
416;"HEXAMER";"Dessert";"germany";"nahe";4.5;49;"https://images.vivino.com/thumbs/RkFuGIwASI-GwfTw7q_VWA_pb_x300.png";"MEDDERSHEIMER ALTENBERG RIESLING EISWEIN 2016"
417;"BARBEITO";"Dessert";"PT";"madeira";4.5;48;"https://images.vivino.com/thumbs/ruUXo3nTRhSOqw51LvfyvA_pb_x300.png";"FRASQUEIRA SERCIAL 1992"
418;"JOS. CHRISTOFFEL JR.";"Dessert";"germany";"mosel";4.5;48;"https://images.vivino.com/thumbs/r3qsegXRRTi0ewEisk0s-w_pb_x300.png";"ÜRZIGER WÜRZGARTEN RIESLING AUSLESE 1993"
419;"MOSKETTO";"Dessert";"I";"piemonte";4.5;48;"https://images.vivino.com/thumbs/cDXhD7L0QzW0QaXhYSN2Wg_pb_x300.png";"DELICATE SWEET WHITE 2017"
420;"EROICA";"Dessert";"united states";"columbia valley";4.5;48;"https://images.vivino.com/thumbs/hyR3WIPnQb2428vBakoUEQ_pb_x300.png";"ICE WINE RIESLING 2013"
421;"ROBERTO MAZZI";"Dessert";"I";"recioto della valpolicella classico";4.5;47;"https://images.vivino.com/thumbs/2O2jdJpNQaGVMY1AtePnlQ_pb_x300.png";"LE CALCAROLE RECIOTO DELLA VALPOLICELLA CLASSICO 2009"
422;"MISSION HILL FAMILY ESTATE";"Dessert";"canada";"okanagan valley";4.5;46;"https://images.vivino.com/thumbs/It6rAKE6TVu8gHLU5a2j4w_pb_x300.png";"RESERVE RIESLING ICEWINE 2015"
423;"SPERI";"Dessert";"I";"recioto della valpolicella classico";4.5;46;"https://images.vivino.com/thumbs/QUenLrGQR8Wmq7x-adoSeA_pb_x300.png";"LA ROGGIA RECIOTO DELLA VALPOLICELLA CLASSICO 2009"
424;"PELLER ESTATES";"Dessert";"canada";"niagara peninsula";4.5;47;"https://images.vivino.com/thumbs/CVLy3i-dTGqEYun9DKVgFA_pb_x300.png";"ICEWINE RIESLING 2007"
425;"AZIENDA AGRICOLA BIAVA";"Dessert";"I";"moscato di scanzo";4.5;46;"https://images.vivino.com/thumbs/RF-1gCt0Qb2a86hLhGvqvg_pb_x300.png";"MOSCATO DI SCANZO 2010"
426;"SINE QUA NON";"Dessert";"united states";"san luis obispo county";4.5;45;"https://images.vivino.com/highlights/icon/most_user_rated.svg";"MR. K THE NOBLE MAN (VIOGNIER) 2006"
427;"INNISKILLIN";"Dessert";"canada";"niagara peninsula";4.5;45;"https://images.vivino.com/thumbs/ZyToTF2xRdqBaQOFXAX2CA_pb_x300.png";"RIESLING ICEWINE 2006"
428;"INNISKILLIN";"Dessert";"canada";"niagara peninsula";4.5;45;"https://images.vivino.com/thumbs/WFqObuamTS6OwzmcjjZPZg_pb_x300.png";"CABERNET FRANC ICEWINE 2013"
429;"DONNAFUGATA";"Dessert";"I";"passito di pantelleria";4.5;44;"https://images.vivino.com/thumbs/tWuXrj0nRZCum1ezynysLA_pb_x300.png";"BEN RYÉ PASSITO DI PANTELLERIA 2005"
430;"FATTORIA ZERBINA";"Dessert";"I";"albana di romagna";4.5;44;"https://images.vivino.com/thumbs/O_Et1E0ySu6d-9i88rkBOQ_pb_x300.png";"AR ALBANA DI ROMAGNA PASSITO RISERVA N.V."
431;"BARBEITO";"Dessert";"PT";"madeira";4.5;43;"https://images.vivino.com/thumbs/ruUXo3nTRhSOqw51LvfyvA_pb_x300.png";"FRASQUEIRA SERCIAL 1988"
432;"ANSELMANN";"Dessert";"germany";"pfalz";4.5;43;"https://images.vivino.com/thumbs/gMYaUJe5Q0ikRJ3DP5gNiQ_pb_x300.png";"RIESLING EISWEIN 2007"
433;"CHÂTEAU RAYMOND-LAFON";"Dessert";"FR";"sauternes";4.5;43;"https://images.vivino.com/thumbs/G3BbcHBuTvW8CKw0xgyiFQ_pb_x300.png";"SAUTERNES 1988"
434;"GROOT CONSTANTIA";"Dessert";"south africa";"constantia";4.5;42;"https://images.vivino.com/thumbs/DODNA6a0RB6zZjm_6lAL6Q_pb_x300.png";"GRAND CONSTANCE 2011"
435;"BISSON";"Dessert";"I";"cinque terre";4.5;41;"https://images.vivino.com/thumbs/knNYGnNGS0aDM8YZGpRmFw_pb_x300.png";"SCIACCHETRÀ N.V."
436;"CHÂTEAU SUDUIRAUT";"Dessert";"FR";"sauternes";4.5;41;"https://images.vivino.com/thumbs/yyAgH9OpQjKEBxg1N1RBmA_pb_x300.png";"SAUTERNES (PREMIER GRAND CRU CLASSÉ) 1976"
437;"KLEIN CONSTANTIA";"Dessert";"south africa";"constantia";4.5;41;"https://images.vivino.com/thumbs/EKZ0KF4gS4eVwXbsNs-jyQ_pb_x300.png";"VIN DE CONSTANCE (NATURAL SWEET) 1996"
438;"DOMAINE WEINBACH";"Dessert";"FR";"alsace grand cru";4.5;41;"https://images.vivino.com/thumbs/PGk1tXz3QkqtZfWK9Pk9Hw_pb_x300.png";"RIESLING ALSACE GRAND CRU SCHLOSSBERG SÉLECTION DE GRAINS NOBLES N.V."
439;"KLEIN CONSTANTIA";"Dessert";"south africa";"constantia";4.5;39;"https://images.vivino.com/thumbs/EKZ0KF4gS4eVwXbsNs-jyQ_pb_x300.png";"VIN DE CONSTANCE (NATURAL SWEET) 1998"
440;"DIDIER DAGUENEAU (LOUIS-BENJAMIN DAGUENEAU)";"Dessert";"FR";"jurançon";4.5;39;"https://images.vivino.com/thumbs/lZQrVzCaR2-JVOqOfKerdQ_pb_x300.png";"LES JARDINS DE BABYLONE MOELLEUX 2014"
441;"HORÁCIO SIMÕES";"Dessert";"PT";"palmela";4.5;39;"https://images.vivino.com/thumbs/8cujDDcLT9S2ikE1ONcrKA_pb_x300.png";"BASTARDO 2012"
442;"FORLINI CAPPELLINI";"Dessert";"I";"cinque terre";4.5;39;"https://images.vivino.com/thumbs/B3XmvNfJQJ2kMNtppapu2A_pb_x300.png";"SCIACCHETRÀ RISERVA N.V."
443;"DISZNÓKÓ";"Dessert";"HUN";"tokaj";4.5;38;"https://images.vivino.com/thumbs/ga49QVi8TROAuuppZ--QVQ_pb_x300.png";"TOKAJI ASZÚ 6 PUTTONYOS 2006"
444;"DOMAINE SIGALAS";"Dessert";"greece";"santorini";4.5;38;"https://images.vivino.com/thumbs/X57PqexxRLiloMbAr1q5gA_pb_x300.png";"VINSANTO 2006"
445;"DÖNNHOFF";"Dessert";"germany";"nahe";4.5;40;"https://images.vivino.com/thumbs/lkoxAY0vSkOvSBoT9mzmSA_pb_x300.png";"OBERHÄUSER BRÜCKE RIESLING BEERENAUSLESE N.V."
446;"DIDIER DAGUENEAU (LOUIS-BENJAMIN DAGUENEAU)";"Dessert";"FR";"jurançon";4.5;38;"https://images.vivino.com/thumbs/lZQrVzCaR2-JVOqOfKerdQ_pb_x300.png";"LES JARDINS DE BABYLONE MOELLEUX 2004"
447;"DONNAFUGATA";"Dessert";"I";"passito di pantelleria";4.5;37;"https://images.vivino.com/thumbs/t-B11h9fSM6omIela450TQ_pb_x300.png";"BEN RYÈ PASSITO DI PANTELLERIA EDIZIONE LIMITATA 2011"
448;"CHÂTEAU LAFAURIE-PEYRAGUEY";"Dessert";"FR";"sauternes";4.5;37;"https://images.vivino.com/thumbs/8KqQ2KDCRzmR4CiZ3QMRPg_pb_x300.png";"SAUTERNES (PREMIER GRAND CRU CLASSÉ) 1985"
449;"MARCO DE BARTOLI";"Dessert";"I";"marsala";4.5;36;"https://images.vivino.com/thumbs/iVNliVMMRRm9hRQ9Ys9xgA_pb_x300.png";"VERGINE RISERVA 1988"
450;"ROCCA DI MONTEGROSSI";"Dessert";"I";"vin santo del chianti classico";4.5;36;"https://images.vivino.com/thumbs/x6N6MStvSceDOWXXsQTSzw_pb_x300.png";"VIN SANTO DEL CHIANTI CLASSICO 2006"
451;"SAUSKA";"Dessert";"HUN";"tokaj";4.5;36;"https://images.vivino.com/thumbs/ywY9OFT5SouXzV3tdq9mVQ_pb_x300.png";"TOKAJI ASZÚ 5 PUTTONYOS 2013"
452;"BUSSOLA";"Dessert";"I";"recioto della valpolicella";4.5;36;"https://images.vivino.com/thumbs/9jxI9WYBRkWZsWZ9x0b36w_pb_x300.png";"RECIOTO DELLA VALPOLICELLA CLASSICO 2012"
453;"STEFANO ACCORDINI";"Dessert";"I";"recioto della valpolicella";4.5;36;"https://images.vivino.com/thumbs/NqLoJ3eiT6CP_009eoHypA_pb_x300.png";"RECIOTO DELLA VALPOLICELLA CLASSICO ACINATICO 2009"
454;"DOLCE";"Dessert";"united states";"napa valley";4.5;35;"https://images.vivino.com/thumbs/Sjyvsv8cQJqxqIjXbKWI8g_pb_x300.png";"DOLCE (LATE HARVEST) 2005"
455;"BAUMARD";"Dessert";"FR";"quarts de chaume";4.5;35;"https://images.vivino.com/thumbs/qBBNWcfcQcmQUPnSI8EnIw_pb_x300.png";"QUARTS DE CHAUME 1997"
456;"FRANÇOIS CHIDAINE";"Dessert";"FR";"montlouis-sur-loire";4.5;35;"https://images.vivino.com/thumbs/bn0uRauvTSiuy_AjN7WUwA_pb_x300.png";"LES TUFFEAUX MONTLOUIS SUR LOIRE 2011"
457;"MERRYVALE";"Dessert";"united states";"california";4.5;35;"https://images.vivino.com/thumbs/NnJpMRKASMGiF30tbm-9yQ_pb_x300.png";"ANTIGUA DESSERT 2008"
458;"HUNDRED ACRE";"Dessert";"united states";"napa valley";4.6;39;"https://images.vivino.com/thumbs/YcTgJEHRR3W6SBETW0fSWg_pb_x300.png";"FORTIFICATION PORT N.V."
459;"FRITZ HAAG";"Dessert";"germany";"brauneberg";4.5;35;"https://images.vivino.com/thumbs/a8C228AUSz-EQAgvUcKfhw_pb_x300.png";"BRAUNEBERGER JUFFER SONNENUHR RIESLING AUSLESE 2001"
460;"KRACHER";"Dessert";"austria";"burgenland";4.5;35;"https://images.vivino.com/thumbs/u8Y0-tyHREuXZDvIEysmpQ_pb_x300.png";"NUMMER 6 ZWISCHEN DEN SEEN SCHEUREBE TROCKENBEERENAUSLESE N.V."
461;"DOMAINE DE RANCY";"Dessert";"FR";"rivesaltes";4.5;34;"https://images.vivino.com/thumbs/v2D2Ehz5Roeryu3tAwsdpQ_pb_x300.png";"RIVESALTES AMBRÉ 1993"
462;"CHÂTEAU D'YQUEM";"Dessert";"FR";"sauternes";4.5;34;"https://images.vivino.com/thumbs/Jt7xLGXcSA22gVYMyBJjGg_pb_x300.png";"SAUTERNES 1968"
463;"CHÂTEAU DE FARGUES";"Dessert";"FR";"sauternes";4.5;34;"https://images.vivino.com/thumbs/6UkCAp0zR-StH2rQSPvU-g_pb_x300.png";"SAUTERNES (LUR SALUCES) 1983"
464;"LEON BEYER";"Dessert";"FR";"alsace";4.5;36;"https://thumbs.vivino.com/avatars/AHxUaG3-QzubAesciEFFUg_50x50.jpg";"RIESLING SÉLECTION DE GRAINS NOBLES 1989"
465;"MORRIS OF RUTHERGLEN";"Dessert";"australia";"rutherglen";4.5;35;"https://images.vivino.com/highlights/icon/top_ranked.svg";"CELLAR RESERVE GRAND LIQUEUR MUSCAT N.V."
466;"CANTINE VIOLA";"Dessert";"I";"calabria";4.5;34;"https://images.vivino.com/thumbs/TJ-fW0loTkWg6kBtSKdsfg_pb_x300.png";"PASSITO MOSCATO 2012"
467;"CAPICHERA";"Dessert";"I";"isola dei nuraghi";4.5;34;"https://images.vivino.com/thumbs/SkXi46dbQkqMEovACb9G6w_pb_x300.png";"VT VENDEMMIA TARDIVA 2016"
468;"CHÂTEAU DERESZLA";"Dessert";"HUN";"tokaj";4.5;34;"https://images.vivino.com/thumbs/XuCY0pr8Qf-hl07At_KZQw_pb_x300.png";"ASZÚ 5 PUTTONYOS 2004"
469;"DOMAINE CAUHAPÉ";"Dessert";"FR";"jurançon";4.5;33;"https://images.vivino.com/thumbs/3r6pimhySt6y7bNVi1-DVA_pb_x300.png";"QUINTESSENCE DU PETIT MANSENG JURANÇON 2010"
470;"SAMUEL TINON";"Dessert";"HUN";"tokaj";4.5;33;"https://images.vivino.com/thumbs/cCAPARzbQL2UsPYJIiv4fQ_pb_x300.png";"TOKAJI ASZÚ 2006"
471;"BADIA DI MORRONA";"Dessert";"I";"chianti";4.5;33;"https://images.vivino.com/thumbs/6K2yyS-9S8mDkH9sRczU5w_pb_x300.png";"VIN SANTO DEL CHIANTI 2010"
472;"KRACHER";"Dessert";"austria";"burgenland";4.5;33;"https://images.vivino.com/thumbs/vSY4E5LeQfaQsinzlrvb-w_pb_x300.png";"GRANDE CUVÉE NUMMER 6 NOUVELLE VAGUE TROCKENBEERENAUSLESE 2008"
473;"CHÂTEAU MONCONTOUR";"Dessert";"FR";"vouvray";4.5;34;"https://images.vivino.com/thumbs/ol2tEz07S7Oj8R1c0p9TNQ_pb_x300.png";"NECTAR N.V."
474;"DISZNÓKÓ";"Dessert";"HUN";"tokaj";4.5;33;"https://images.vivino.com/thumbs/ga49QVi8TROAuuppZ--QVQ_pb_x300.png";"TOKAJI ASZÚ 6 PUTTONYOS 1992"
475;"BACCHERETO";"Dessert";"I";"vin santo di carmignano";4.5;32;"https://images.vivino.com/thumbs/k7CaMQL-QBK2TJA2ZhDD7w_pb_x300.png";"VIN SANTO DI CARMIGNANO 2004"
476;"HUGEL";"Dessert";"FR";"alsace";4.5;32;"https://images.vivino.com/thumbs/U-mFou_mQMKY_YceCqR1zg_pb_x300.png";"SÉLECTION DE GRAINS NOBLES GEWÜRZTRAMINER 1999"
477;"ROCCA DI MONTEGROSSI";"Dessert";"I";"vin santo del chianti classico";4.5;32;"https://images.vivino.com/thumbs/x6N6MStvSceDOWXXsQTSzw_pb_x300.png";"VIN SANTO DEL CHIANTI CLASSICO 2007"
478;"WAYNE GRETZKY ESTATES NO. 99";"Dessert";"canada";"niagara peninsula";4.5;31;"https://images.vivino.com/thumbs/ve2orwlFRIKdb1c17X5BmQ_pb_x300.png";"ICEWINE VIDAL 2017"
479;"WEINGÜTER WEGELER";"Dessert";"germany";"mosel";4.5;31;"https://images.vivino.com/thumbs/ceXO94eXSDKKix6-sAGtgg_pb_x300.png";"DOCTOR SPÄTLESE 2010"
480;"HATZIDAKIS";"Dessert";"greece";"santorini";4.5;31;"https://images.vivino.com/highlights/icon/best_user_rated.svg";"NAMA (VIN ROUGE NATURELLEMENT DOUX) 2003"
481;"FENECH";"Dessert";"I";"malvasia delle lipari";4.5;32;"https://images.vivino.com/thumbs/HaKLRkI8ToGsuM_-Ab_9Xg_pb_x300.png";"MALVASIA DELLE LIPARI PASSITO 2010"
482;"ROYAL TOKAJI";"Dessert";"HUN";"tokaj";4.5;31;"https://images.vivino.com/thumbs/GRFFX4I8R6yyfgcwrYOnYQ_pb_x300.png";"ASZÚ 6 PUTTONYOS 2005"
483;"GRAND TOKAJ";"Dessert";"HUN";"tokaj";4.5;31;"https://images.vivino.com/thumbs/mqTayzaeRQ2pZdluQcYfZQ_pb_x300.png";"TOKAJI ASZÚ 6 PUTTONYOS 2013"
484;"SAN GIUSTO A RENTENNANO";"Dessert";"I";"vin santo";4.5;31;"https://images.vivino.com/thumbs/7PrtnQK7QT21fka3wW-QZQ_pb_x300.png";"VIN SAN GIUSTO 2006"
485;"CHÂTEAU LAMOTHE-DESPUJOLS";"Dessert";"FR";"sauternes";4.5;30;"https://images.vivino.com/thumbs/sdKHmhk9SqGFRzqR-Qq_Rg_pb_x300.png";"SAUTERNES (GRAND CRU CLASSÉ) 2001"
486;"BARBEITO";"Dessert";"PT";"madeira";4.5;30;"https://images.vivino.com/thumbs/VhaK-rlTTRuwlM36xUFvyg_pb_x300.png";"FRASQUEIRA VERDELHO 1992"
487;"SAN GIUSTO A RENTENNANO";"Dessert";"I";"vin santo";4.5;30;"https://images.vivino.com/thumbs/7PrtnQK7QT21fka3wW-QZQ_pb_x300.png";"VIN SAN GIUSTO 2003"
488;"CHÂTEAU DE LEBERON";"Dessert";"FR";"vin de france";4.5;30;"https://images.vivino.com/thumbs/b19-isQ4RjeuezuuJOk-YQ_pb_x300.png";"VIN MUTÉ À L'ARMAGNAC COLOMBARD N.V."
489;"BERTA";"Dessert";"I";"piemonte";4.5;31;"https://images.vivino.com/highlights/icon/top_ranked.svg";"VILLA PRATO GRAPPA INVECCHIATA 2017"
490;"FAIRVIEW";"Dessert";"south africa";"paarl";4.5;29;"https://images.vivino.com/thumbs/yWQn4vTDTMa0kDMmMkyU6w_pb_x300.png";"LA BERYL BLANC 2017"
491;"MACULAN";"Dessert";"I";"breganze";4.5;29;"https://images.vivino.com/thumbs/Q545RGZLR7u5iIlBweYOcg_pb_x300.png";"ACININOBILI 2006"
492;"BERTANI";"Dessert";"I";"recioto della valpolicella";4.5;28;"https://images.vivino.com/thumbs/R1CkuadKRMyWT42aA-h9Gg_pb_x300.png";"RECIOTO DELLA VALPOLICELLA CLASSICO SUPERIORE 1983"
493;"ANSELMANN";"Dessert";"germany";"pfalz";4.5;28;"https://images.vivino.com/thumbs/K7UXQsONS2ihRNDTcqrkxg_pb_x300.png";"SIEGERREBE SPÄTLESE 2012"
494;"LVNAE";"Dessert";"I";"liguria";4.5;28;"https://images.vivino.com/highlights/icon/top_ranked.svg";"NEKTÁR PASSITO 2015"
495;"BARBOURSVILLE";"Dessert";"united states";"virginia";4.5;27;"https://images.vivino.com/thumbs/ECQ7bfVeQgSyg03adYFxzw_pb_x300.png";"PHILEO 2008"
496;"HARTWELL ESTATE";"Dessert";"united states";"stags leap district";4.5;27;"https://images.vivino.com/highlights/icon/most_user_rated.svg";"CABERNET SAUVIGNON SWEET HART 2013"
497;"CHÂTEAU COUTET";"Dessert";"FR";"barsac";4.5;27;"https://images.vivino.com/thumbs/RERw07yGQ0OqQdVzeVo7fw_pb_x300.png";"SAUTERNES BARSAC (PREMIER GRAND CRU CLASSÉ) 1979"
498;"WEINRIEDER";"Dessert";"austria";"weinviertel";4.5;27;"https://images.vivino.com/thumbs/o7Cp0Q86SDWHMQ2i_Bzexg_pb_x300.png";"SCHNEIDERBERG RIESLING EISWEIN 2012"
499;"WEINGUT GUNDERLOCH";"Dessert";"germany";"rheinhessen";4.5;27;"https://images.vivino.com/thumbs/NnGrtYgLSbeuJG83ltc1Vw_pb_x300.png";"NACKENHEIM ROTHENBERG RIESLING AUSLESE 2007"
500;"OREMUS";"Dessert";"HUN";"tokaj";4.5;26;"https://images.vivino.com/thumbs/2dKAu-VjRuCmz2y0BCYGsA_pb_x300.png";"TOKAJI LATE HARVEST 2002"
501;"PATTERSON";"Dessert";"united states";"yakima valley";4.5;26;"https://images.vivino.com/thumbs/o_eg3lD3QPyr7BsZ-QHC7Q_pb_x300.png";"LATE HARVEST ROUSSANNE 2013"
502;"CAPICHERA";"Dessert";"I";"isola dei nuraghi";4.5;26;"https://images.vivino.com/thumbs/SkXi46dbQkqMEovACb9G6w_pb_x300.png";"VT VENDEMMIA TARDIVA 2011"
503;"BERTANI";"Dessert";"I";"recioto della valpolicella";4.5;26;"https://images.vivino.com/thumbs/R1CkuadKRMyWT42aA-h9Gg_pb_x300.png";"RECIOTO DELLA VALPOLICELLA CLASSICO SUPERIORE 1985"
504;"CHÂTEAU PAJZOS";"Dessert";"HUN";"tokaj";4.5;26;"https://images.vivino.com/thumbs/q_VAstDYTq-JvVztt5nUZw_pb_x300.png";"TOKAJI ASZÚ 3 PUTTONYOS 1993"
505;"HUGEL";"Dessert";"FR";"alsace";4.5;26;"https://images.vivino.com/thumbs/U-mFou_mQMKY_YceCqR1zg_pb_x300.png";"SÉLECTION DE GRAINS NOBLES GEWÜRZTRAMINER 1997"
506;"HUGEL";"Dessert";"FR";"alsace";4.5;26;"https://images.vivino.com/thumbs/q-FR8RtaS2yi0k9gkhNb0g_pb_x300.png";"SÉLECTION DE GRAINS NOBLES PINOT GRIS 2007"
507;"CHÂTEAU ROUMIEU";"Dessert";"FR";"sauternes";4.5;25;"https://images.vivino.com/thumbs/sjK8Z8nZR6GLDGCEvpzkNg_pb_x300.png";"SAUTERNES 1998"
508;"OREMUS";"Dessert";"HUN";"tokaj";4.5;25;"https://images.vivino.com/thumbs/Ys-_l45SQQeQpEdZaAnY9w_pb_x300.png";"TOKAJI ASZÚ 5 PUTTONYOS 1975"
509;"KIRÁLYUDVAR";"Dessert";"HUN";"tokaj";4.5;25;"https://images.vivino.com/thumbs/e8fKY2TNSXeDmoZ7AVzacQ_pb_x300.png";"TOKAJI ASZÚ LAPIS N.V."
510;"MAMETE PREVOSTINI";"Dessert";"I";"terrazze retiche di sondrio";4.5;25;"https://images.vivino.com/thumbs/JIeJPJoUQeOPXiyO4VaRZQ_pb_x300.png";"VERTEMATE PASSITO 2014"
511;"FANTI";"Dessert";"I";"vin santo sant'antimo";4.5;25;"https://images.vivino.com/thumbs/rkPdPcDoS0OXYbsHsZNKZQ_pb_x300.png";"VIN SANTO SANT'ANTIMO 2009"
512;"BISSON";"Dessert";"I";"cinque terre";4.5;25;"https://images.vivino.com/highlights/icon/most_user_rated.svg";"SCIACCHETRÀ 2007"
513;"DOMAINE HUET";"Dessert";"FR";"vouvray";4.5;25;"https://images.vivino.com/thumbs/5xNP9flyQ2OtgPl9ykLu4A_pb_x300.png";"VOUVRAY CLOS DU BOURG MOELLEUX PREMIÈRE TRIE 1989"
514;"DOMAINE ZIND HUMBRECHT";"Dessert";"FR";"alsace grand cru 'rangen'";4.5;25;"https://images.vivino.com/thumbs/COTHgWjlS5qOZEZEnANw8A_pb_x300.png";"PINOT GRIS ALSACE GRAND CRU RANGEN DE THANN CLOS SAINT URBAIN SÉLECTION GRAINS NOBLES 1998"
515;"AZIENDA AGRICOLA PISONI";"Dessert";"I";"trentino";4.5;25;"https://images.vivino.com/thumbs/BntDnF3GQkuH9cHzKWTTUQ_pb_x300.png";"VINO SANTO 2004"
516;"ROYAL TOKAJI";"Dessert";"HUN";"tokaj";4.4;6612;"https://images.vivino.com/thumbs/FwwqX8tzSvqYOd2ordoZNQ_pb_x300.png";"5 PUTTONYOS ASZÚ (BLUE LABEL) N.V."
517;"INNISKILLIN";"Dessert";"canada";"niagara peninsula";4.4;4071;"https://images.vivino.com/thumbs/BCR0dcHqTgCyi9s_kBxOUw_pb_x300.png";"VIDAL ICEWINE N.V."
518;"CHÂTEAU CLIMENS";"Dessert";"FR";"barsac";4.4;3457;"https://images.vivino.com/thumbs/nA-TeA6IRL6ITv-2DPy8rw_pb_x300.png";"BARSAC (PREMIER GRAND CRU CLASSÉ) N.V."
519;"OREMUS";"Dessert";"HUN";"tokaj";4.4;3111;"https://images.vivino.com/thumbs/Ys-_l45SQQeQpEdZaAnY9w_pb_x300.png";"TOKAJI ASZÚ 5 PUTTONYOS N.V."
